, timeConnectedAdjacencyListImplementation, timeConnectedAdjacencyMatrixImplementation, timeKruskalAdjacencyListImplementation, timeKruskalAdjacencyMatrixImplementation
0.1, -5242.88, -10485.76, -5242.88, -10485.76
0.2, -10485.76, -10485.76, -5242.88, -10485.76
0.3, -26214.4, 15728.64, -5242.88, 83886.08
0.4, -10485.76, 10485.76, -5242.88, 52428.8
0.5, 15728.64, 20971.52, 99614.72, 41943.04
0.6, 15728.64, 20971.52, 47185.92, 41943.04
0.7, 15728.64, 5242.88, 36700.16, 36700.16
0.8, 15728.64, 15728.64, 41943.04, 62914.56
0.9, 31457.28, 20971.52, 36700.16, 68157.44
