,LinearHashInsert,ChainHashInsert,TreeHashInsert,LinearHashSearchSuccessful,ChainHashSearchSuccessful,TreeHashSearchSuccessful,LinearHashSearchUnsuccessful,ChainHashSearchUnsuccessful,TreeHashSearchUnsuccessful
10.0.3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0.5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0.75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0.3.3,0.0,131072.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0.5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.0.75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0.3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0.5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30.0.75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0.3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0.5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0.75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
