ID,Type,TotalGoldMined,Death,Time
0,searcher,0,Did not die,556
1,searcher,0,Did not die,556
2,searcher,0,Did not die,556
3,searcher,0,Did not die,556
4,searcher,0,Did not die,556
5,digger,0,Did not die,556
6,digger,0,Did not die,556
7,digger,0,Did not die,556
8,digger,0,Did not die,556
9,digger,0,Did not die,556
10,minerBuilder,0,Did not die,556
11,minerBuilder,0,Did not die,556
12,minerBuilder,0,Did not die,556
13,minerBuilder,4,Did not die,556
14,minerBuilder,0,Did not die,556
15,superMiner,0,Did not die,556
16,superMiner,0,Did not die,556
17,superMiner,0,Did not die,556
18,superMiner,0,Did not die,556
19,superMiner,0,Did not die,556
20,superMiner,0,Did not die,556
21,superMiner,0,Did not die,556
22,superMiner,0,Did not die,556
23,superMiner,0,Did not die,556
24,superMiner,0,Did not die,556
25,ultimateMiner,0,Did not die,556
26,ultimateMiner,0,Pit,555
27,ultimateMiner,0,Did not die,556
28,ultimateMiner,0,Did not die,556
29,ultimateMiner,0,Did not die,556
